0.5 1
0.6 0.999997
0.7 0.999978
0.8 0.999907
0.9 0.99971
1 0.999275
1.1 0.998446
1.2 0.997025
1.3 0.994772
1.4 0.991387
1.5 0.9865
1.6 0.979624
1.7 0.970081
1.8 0.956858
1.9 0.93831
2 0.911329
2.1 0.868767
2.2 0.78465
2.3 0.434433
2.4 0.158917
2.5 0.0991861
2.6 0.074882
2.7 0.0614289
2.8 0.0527044
2.9 0.0469973
3 0.042677
3.1 0.0389522
3.2 0.036188
3.3 0.0342054
3.4 0.0325721
3.5 0.0309378
3.6 0.0295642
3.7 0.0283105
3.8 0.0273547
3.9 0.0264212
4 0.0257651
4.1 0.025025
4.2 0.0246318
4.3 0.0238118
4.4 0.0233905
4.5 0.0230882
4.6 0.0224659
4.7 0.0221641
4.8 0.0217015
4.9 0.0213595
5 0.0209948
