0.5	1
0.6	1
0.7	1
0.8	1
0.9	0.999999
1	0.999997
1.1	0.999993
1.2	0.999986
1.3	0.999974
1.4	0.999953
1.5	0.999919
1.6	0.99986
1.7	0.999758
1.8	0.999569
1.9	0.999182
2	0.998263
2.1	0.995297
2.2	0.978727
2.3	0.852678
2.4	0.503152
2.5	0.240695
2.6	0.131157
2.7	0.0829965
2.8	0.058943
2.9	0.0457726
3	0.0317593
3.1	0.0300954
3.2	0.0180022
3.3	0.0223587
3.4	0.0147193
3.5	0.0183858
3.6	0.0214196
3.7	0.00973482
3.8	0.012286
3.9	0.0124502
4	0.0153808
4.1	0.00431854
4.2	0.0178897
4.3	0.00816046
4.4	0.00319657
4.5	0.00443048
4.6	0.000443758
4.7	0.00973435
4.8	-0.00298953
4.9	0.000909741
5	0.00807116
