0 14542
2 29089
4 29211
6 29220
8 29130
10 29057
12 28626
14 28218
16 27832
18 27509
20 27378
22 26929
24 26396
26 25999
28 25402
30 25113
32 24669
34 24156
36 23641
38 23202
40 22413
42 21762
44 21255
46 20330
48 19690
50 19229
52 18788
54 17829
56 17213
58 16547
60 16037
62 15552
64 14904
66 14214
68 13450
70 12902
72 12334
74 11768
76 10995
78 10640
80 9956
82 9486
84 8870
86 8286
88 8001
90 7478
92 6973
94 6693
96 6363
98 5861
100 5576
102 5087
104 4803
106 4408
108 4056
110 3898
112 3460
114 3184
116 2985
118 2820
120 2537
122 2392
124 2216
126 1958
128 1826
130 1658
132 1573
134 1458
136 1317
138 1214
140 1046
142 1011
144 895
146 772
148 734
150 624
152 583
154 490
156 448
158 460
160 418
162 346
164 305
166 273
168 258
170 218
172 217
174 174
176 141
178 129
180 111
182 100
184 74
186 78
188 63
190 65
192 49
194 41
196 41
198 38
200 31
202 24
204 17
206 16
208 26
210 15
212 20
214 10
216 6
218 6
220 9
222 7
224 8
226 4
228 2
230 4
232 4
234 3
236 4
238 1
240 2
242 4
244 1
246 1
250 1
252 2
254 1
256 2
258 2
260 1
